# RD-2D-Stack-C plan-drafting-refresh — S6-trajectory regime (probe item b; §L.4 + §L.8 R-SME9 canonical resolution)
# date: 2026-05-25T20-00-00Z

step    max|U|              max|V|              minU        minV
    0   1.000000000000e+00  2.509999540408e-01  4.9901e-01  0.0000e+00
  200   9.999998738969e-01  4.173115071360e-01  2.2762e-01  1.0460e-13
  400   9.999999999231e-01  3.721450768893e-01  2.6619e-01  5.5934e-23
  600   1.000000000000e+00  3.544472337206e-01  2.8659e-01  3.0226e-32
  800   1.000000000000e+00  3.516602063429e-01  2.8917e-01  9.5429e-38
 1000   1.000000000000e+00  3.558956146890e-01  2.9321e-01  2.6213e-37
 1200   1.000000000000e+00  3.718585725898e-01  3.0412e-01  4.8069e-37
 1400   1.000000000000e+00  4.030072752685e-01  2.8936e-01  6.7852e-37
 1600   1.000000000000e+00  3.951487592505e-01  2.7442e-01  8.2077e-37
 1800   1.000000000000e+00  3.804315612350e-01  2.7853e-01  1.1457e-36
 2000   1.000000000000e+00  3.760765486739e-01  2.7926e-01  3.1321e-36

finite_through_horizon=True  bounded(U,V in O(1))=True
